"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C4","100n","","FormantKO:C_Rect_200","2",""
"C2,C3","100µ","","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","2",""
"C5,C6","470p","","FormantKO:C_Rect_200","2",""
"J1","Sequencer Bus Connector","","FormantKO:BusConnector_Full_Male_Horizontal","1",""
"J2","QA","","FormantKO:Wire_2x01_General","1",""
"J3","QB","","FormantKO:Wire_2x01_General","1",""
"J4","QC","","FormantKO:Wire_2x01_General","1",""
"J5","QD","","FormantKO:Wire_2x01_General","1",""
"J6","CV1","","FormantKO:Wire_1x01_General","1",""
"J7","CV2","","FormantKO:Wire_1x01_General","1",""
"J8","CV3","","FormantKO:Wire_1x01_General","1",""
"J9","R51-1&2","","FormantKO:Wire_1x01_General","1",""
"J10","R51-3","","FormantKO:Wire_1x01_General","1",""
"J11,J12","VSRC","","FormantKO:Wire_1x01_General","2",""
"J13,J15,J17,J19,J21,J23,J25,J27,J29,J31,J33,J35,J37,J39,J41,J43","C","","FormantKO:Wire_1x01_General","16",""
"J14,J16,J18,J20,J22,J24,J26,J28,J30,J32,J34,J36,J38,J40,J42,J44","F","","FormantKO:Wire_1x01_General","16",""
"MH1","CardBracket","","FormantKO:CardBracket","1",""
"R1,R72,R74","10k","","FormantKO:R_Axial_Horizontal_400","3",""
"R2,R3","47k","","FormantKO:R_Axial_Horizontal_400","2",""
"R4,R5,R6,R7,R8,R10,R11,R12,R13,R15,R17,R18,R19,R22,R23,R24,R26,R28,R30,R31,R32,R33,R34,R35,R36,R38,R40,R41,R42,R44,R45,R46,R47,R48,R50,R52,R53,R54,R57,R58,R59,R62,R63,R64,R65,R66,R67,R69,R71,R73","100k","","FormantKO:PanelConnector_1x03,FormantKO:R_Axial_Horizontal_400","50",""
"R9,R14,R20,R21,R27,R29,R37,R39,R43,R49,R55,R56,R60,R61,R68,R70","2M","","FormantKO:R_Axial_Horizontal_400","16",""
"R25","200k","","FormantKO:R_Axial_Horizontal_400","1",""
"R51","1M","","FormantKO:PanelConnector_1x03","1",""
"R75","22R","","FormantKO:R_Axial_Horizontal_400","1",""
"U1","TL084","http://www.ti.com/lit/ds/symlink/tl081.pdf","FormantKO:DIP-14","1",""
"U2","CD4067","https://assets.nexperia.com/documents/data-sheet/HEF4067B.pdf","FormantKO:DIP-24W","1",""
"U3","TL082","http://www.ti.com/lit/ds/symlink/tl081.pdf","FormantKO:DIP-8","1",""
"VS1","LM4040LP-2.5","http://www.ti.com/lit/ds/symlink/lm4040-n.pdf","Package_TO_SOT_THT:TO-92_Inline_Wide","1",""
