"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","220µ","","FormantKO:CP_Radial_P100mil","1",""
"C2,C8","10μ","","FormantKO:CP_Radial_P100mil","2",""
"C3,C4,C6,C7","100n","","FormantKO:C_Rect_P200mil","4",""
"C5,C9","220n","","FormantKO:C_Rect_P200mil","2",""
"D1,D2","1N4148","https://www.diodes.com/assets/Datasheets/ds12019.pdf","FormantKO:DO-35_P400mil","2",""
"J1","MonoJack","","FormantKO:PanelConnector_1x02","1",""
"J2","Card Connector","","FormantKO:CardConnector","1",""
"MH1","Card Bracket","","FormantKO:CardBracket","1",""
"R1,R10,R20","10k","","FormantKO:Potentiometer_Trimmer_MultiTurn,FormantKO:R_Axial_Horizontal_P500mil","3",""
"R2","1k","","FormantKO:R_Axial_Horizontal_P500mil","1",""
"R3,R4,R6,R8,R13","200k","","FormantKO:R_Axial_Horizontal_P500mil","5",""
"R5,R12,R19","20k","","FormantKO:R_Axial_Horizontal_P500mil","3",""
"R7,R9,R14,R16","100k","","FormantKO:Potentiometer_Trimmer_MultiTurn,FormantKO:R_Axial_Horizontal_P500mil","4",""
"R11","1M","","FormantKO:PanelConnector_1x03","1",""
"R15,R17","1k5","","FormantKO:R_Axial_Horizontal_P500mil","2",""
"R18","220k","","FormantKO:R_Axial_Horizontal_P500mil","1",""
"S1,S2","SW","","FormantKO:PanelConnector_1x03","2",""
"S3","SW_Push","","FormantKO:PanelConnector_1x02","1",""
"U1","40106","https://assets.nexperia.com/documents/data-sheet/HEF40106B.pdf","FormantKO:DIP-14N","1",""
"U2","4520","http://www.intersil.com/content/dam/Intersil/documents/cd45/cd4518bms-20bms.pdf","FormantKO:DIP-16N","1",""
"U3,U4","OpAmp","http://www.ti.com/lit/ds/symlink/lm741.pdf","FormantKO:DIP-8N","2",""
"Z1","1N5239B","https://www.onsemi.com/download/data-sheet/pdf/1n5221b-d.pdf","FormantKO:DO-35_P400mil","1",""
