"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C3,C7,C15,C16,C22","10n","","FormantKO:C_Rect_160,FormantKO:C_Rect_200","6",""
"C2,C4,C5,C6","20n","","FormantKO:C_Rect_200","4",""
"C8","10nf","","FormantKO:C_Rect_200","1",""
"C9,C23","20nf","","FormantKO:C_Rect_160,FormantKO:C_Rect_200","2",""
"C10","1µ","","Capacitor_THT:CP_Radial_Tantal_D5.5mm_P2.50mm","1",""
"C11","47p","","FormantKO:C_Rect_160","1",""
"C12,C13,C14,C18","1n","","FormantKO:C_Rect_200","4",""
"C17","100p","","FormantKO:C_Rect_200","1",""
"C19,C24","100n","","FormantKO:C_Rect_160","2",""
"C20,C21","10µ","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D11,D13,D28,D29,D30,D31","DUS","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","FormantKO:DUS_300","15",""
"J1","Sequencer Bus Connector","","FormantKO:BusConnector_Full_Male_Horizontal","1",""
"J2","CKOUT","","FormantKO:Wire_1x01_General","1",""
"J3","RST","","FormantKO:Wire_1x01_General","1",""
"J4","RIN","","FormantKO:Wire_1x01_General","1",""
"J5","CLR","","FormantKO:Wire_1x01_General","1",""
"J6","RND","","FormantKO:Wire_1x01_General","1",""
"J7","STUP","","FormantKO:Wire_1x01_General","1",""
"J8","STDN","","FormantKO:Wire_1x01_General","1",""
"J9","XCLK","","FormantKO:Wire_1x01_General","1",""
"J10","STRN","","FormantKO:Wire_1x01_General","1",""
"J11","STP","","FormantKO:Wire_1x01_General","1",""
"J12","XSTP","","FormantKO:Wire_1x01_General","1",""
"J13","REV","","FormantKO:Wire_1x01_General","1",""
"J14","R19-1&2","","FormantKO:Wire_1x01_General","1",""
"J15","R19-3","","FormantKO:Wire_1x01_General","1",""
"J16","QA","","FormantKO:Wire_1x01_General","1",""
"J17","QB","","FormantKO:Wire_1x01_General","1",""
"J18","QC","","FormantKO:Wire_1x01_General","1",""
"J19","QD","","FormantKO:Wire_1x01_General","1",""
"J20","0","","FormantKO:Wire_2x01_General","1",""
"J21","1","","FormantKO:Wire_2x01_General","1",""
"J22","2","","FormantKO:Wire_2x01_General","1",""
"J23","3","","FormantKO:Wire_2x01_General","1",""
"J24","4","","FormantKO:Wire_2x01_General","1",""
"J25","5","","FormantKO:Wire_2x01_General","1",""
"J26","6","","FormantKO:Wire_2x01_General","1",""
"J27","7","","FormantKO:Wire_2x01_General","1",""
"J28","8","","FormantKO:Wire_2x01_General","1",""
"J29","9","","FormantKO:Wire_2x01_General","1",""
"J30","10","","FormantKO:Wire_2x01_General","1",""
"J31","11","","FormantKO:Wire_2x01_General","1",""
"J32","12","","FormantKO:Wire_2x01_General","1",""
"J33","13","","FormantKO:Wire_2x01_General","1",""
"J34","14","","FormantKO:Wire_2x01_General","1",""
"J35","15","","FormantKO:Wire_2x01_General","1",""
"J36","GB","","FormantKO:Wire_1x01_General","1",""
"J37","CBUS","","FormantKO:Wire_1x01_General","1",""
"J38","TRIG","","FormantKO:Wire_1x01_General","1",""
"J39","GATE","","FormantKO:Wire_1x01_General","1",""
"LED1","DLED","","FormantKO:PanelConnector_1x02","1",""
"MH1","CardBracket","","FormantKO:CardBracket","1",""
"Q1","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-92_Inline_Wide","1",""
"R1,R5,R10,R11,R17,R20,R39","10k","","FormantKO:R_Axial_Horizontal_400","7",""
"R2,R6,R15,R22","680k","","FormantKO:R_Axial_Horizontal_400","4",""
"R3,R7,R16,R21","220k","","FormantKO:R_Axial_Horizontal_400","4",""
"R4,R8,R12,R40","47k","","FormantKO:R_Axial_Horizontal_400","4",""
"R9,R26,R28,R32,R44,R45,R46,R47","100k","","FormantKO:R_Axial_Horizontal_400","8",""
"R13,R14,R19,R33,R38","1M","","FormantKO:PanelConnector_1x03,FormantKO:R_Axial_Horizontal_400","5",""
"R18","20k","","FormantKO:R_Axial_Horizontal_400","1",""
"R23","6k2","","FormantKO:R_Axial_Horizontal_400","1",""
"R24,R30","3k","","FormantKO:R_Axial_Horizontal_400","2",""
"R25","4K7","","FormantKO:R_Axial_Horizontal_400","1",""
"R27,R29,R41,R42","1k","","FormantKO:R_Axial_Horizontal_400","4",""
"R31,R35","2M","","FormantKO:R_Axial_Horizontal_400","2",""
"R34,R37","4k7","","FormantKO:R_Axial_Horizontal_400","2",""
"R36","4M7","","FormantKO:R_Axial_Horizontal_400","1",""
"R43","3k9","","FormantKO:R_Axial_Horizontal_400","1",""
"S1","FORWARD","","FormantKO:PanelConnector_1x02","1",""
"S2","BACK","","FormantKO:PanelConnector_1x02","1",""
"S3","RESET","","FormantKO:PanelConnector_1x02","1",""
"S4","STOP/RUN","","FormantKO:PanelConnector_1x02","1",""
"TP1","TestPoint","","FormantKO:KEYSTONE_5001","1",""
"U1,U2,U6","40106","https://assets.nexperia.com/documents/data-sheet/HEF40106B.pdf","FormantKO:DIP-14","3",""
"U3","4013","http://www.onsemi.com/pub/Collateral/MC14013B-D.PDF","FormantKO:DIP-14","1",""
"U4","40193","","FormantKO:DIP-16","1",""
"U5","4514","","FormantKO:DIP-24W","1",""
"U7","TL082","","FormantKO:DIP-8","1",""
"U8","HEF4094B","https://assets.nexperia.com/documents/data-sheet/HEF4094B.pdf","FormantKO:DIP-16","1",""
