"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","10n","","FormantKO:C_Rect","1",""
"C2,C3,C4","10µ","","FormantKO:CP_Axial_500_600_700,FormantKO:CP_Axial_700-900mil,FormantKO:CP_Axial_700-900mil_PinSwap","3",""
"D1,D2,D3,D4,D5,D7","1N4148","https://www.diodes.com/assets/Datasheets/ds12019.pdf","FormantKO:DO-35_400mil,FormantKO:DO-35_500mil","6",""
"D6","ENV IND","","FormantKO:PanelConnector_1x02_PinSwap","1",""
"IC1,IC2,IC3,IC4,IC5","µA741C","http://www.ti.com/lit/ds/symlink/lm741.pdf","FormantKO:DIP-8","5",""
"J1","CardConnector","","FormantKO:CardConnector","1",""
"J2","ENV SELECT","","","1",""
"J3","GATE SELECT","","","1",""
"J4,J25","EOS","","FormantKO:PanelConnector_1x02,FormantKO:Wire_1x01_General","2",""
"J5","EXT GATE","","FormantKO:PanelConnector_1x03","1",""
"J6","NO EXT GATE","","FormantKO:Jumper_1x02","1",""
"J7,J26","GND","","FormantKO:Wire_1x01_General","2",""
"J8","P1.1","","FormantKO:Wire_1x01_General","1",""
"J9","P1.3","","FormantKO:Wire_1x01_General","1",""
"J10","P1.2","","FormantKO:Wire_1x01_General","1",""
"J11","P2.3","","FormantKO:Wire_1x01_General","1",""
"J12","P2.2","","FormantKO:Wire_1x01_General","1",""
"J13","P2.1","","FormantKO:Wire_1x01_General","1",""
"J14","P3.1","","FormantKO:Wire_1x01_General","1",""
"J15","P3.3","","FormantKO:Wire_1x01_General","1",""
"J16","P3.2","","FormantKO:Wire_1x01_General","1",""
"J17","P4.1","","FormantKO:Wire_1x01_General","1",""
"J18","P4.2","","FormantKO:Wire_1x01_General","1",""
"J19","P4.3","","FormantKO:Wire_1x01_General","1",""
"J20","S1a","","FormantKO:Wire_1x01_General","1",""
"J21","S1b","","FormantKO:Wire_1x01_General","1",""
"J22","S1m","","FormantKO:Wire_1x01_General","1",""
"J23","D6a","","FormantKO:Wire_1x01_General","1",""
"J24","D6k","","FormantKO:Wire_1x01_General","1",""
"MH1","CardBracket","","FormantKO:CardBracket","1",""
"P1,P2,P3","1M","","FormantKO:PanelConnector_1x03","3",""
"P4,R1,R9,R23,R24","10k","","FormantKO:PanelConnector_1x03_PinSwap,FormantKO:R_Axial_Horizontal","5",""
"P5","25k","","FormantKO:Potentiometer_Trimmer_PinSwap","1",""
"R2,R25","4k7","","FormantKO:R_Axial_Horizontal","2",""
"R3,R7","5k6","","FormantKO:R_Axial_Horizontal","2",""
"R4,R6,R8,R16,R18","100k","","FormantKO:R_Axial_Horizontal","5",""
"R5,R10,R11,R22","33k","","FormantKO:R_Axial_Horizontal","4",""
"R12,R26,R27","470R","","FormantKO:R_Axial_Horizontal","3",""
"R13,R21","1k","","FormantKO:R_Axial_Horizontal","2",""
"R14,R20","27k","","FormantKO:R_Axial_Horizontal","2",""
"R15,R19","6k8","","FormantKO:R_Axial_Horizontal","2",""
"R17","220R","","FormantKO:R_Axial_Horizontal","1",""
"S1","MODE","","FormantKO:PanelConnector_1x03_PinSwap","1",""
"T1,T2,T3,T4,T5,T6","BC108C","https://www.alldatasheet.com/datasheet-pdf/view/607096/CDIL/BC108C.html","FormantKO:TO-18_Wide","6",""
