"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","10n","","FormantKO:C_Rect_300","1",""
"C2","2µ2","","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P5.00mm","1",""
"C3,C4","10µ","","FormantKO:CP_Axial_900","2",""
"D1,D2,D3,D6","DUS","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","FormantKO:DUS","4",""
"D4,D5","DUG","","FormantKO:DUG","2",""
"IC1,IC2,IC3,IC4,IC5,IC6","OpAmp","http://www.ti.com/lit/ds/symlink/lm741.pdf","FormantKO:DIP-8","6",""
"J1","CardConnector","","FormantKO:CardConnector","1",""
"J2","GATE SELECT","","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","1",""
"J3","IOS SELECT","","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","1",""
"J4","MonoJack","","FormantKO:PanelConnector_1x02","1",""
"J5","S1a","","FormantKO:Wire_1x01_General","1",""
"J6","S2a","","FormantKO:Wire_1x01_General","1",""
"J7","S2b","","FormantKO:Wire_1x01_General","1",""
"J8","SQR in","","FormantKO:Wire_1x01_General","1",""
"J9,J10,J15","GND","","FormantKO:Wire_1x01_General","3",""
"J11","P2a","","FormantKO:Wire_1x01_General","1",""
"J12","P2b","","FormantKO:Wire_1x01_General","1",""
"J13","S2m","","FormantKO:Wire_1x01_General","1",""
"J14","S3a","","FormantKO:Wire_1x01_General","1",""
"J16","S1m","","FormantKO:Wire_1x01_General","1",""
"J17","S2c","","FormantKO:Wire_1x01_General","1",""
"J18","S3m","","FormantKO:Wire_1x01_General","1",""
"J19","S3b","","FormantKO:Wire_1x01_General","1",""
"MH1","CardBracket","","FormantKO:CardBracket","1",""
"P1,P3,R19","1k","","FormantKO:Potentiometer_Trimmer,FormantKO:Potentiometer_Trimmer_PinSwap,FormantKO:R_Axial_Horizontal","3",""
"P2","1M","","FormantKO:PanelConnector_1x03","1",""
"R1,R2,R4,R8,R9,R10,R13,R14,R21,R26,R27","100k","","FormantKO:R_Axial_Horizontal","11",""
"R3,R7,R18","4k7","","FormantKO:R_Axial_Horizontal","3",""
"R5,R17,R23","10k","","FormantKO:R_Axial_Horizontal","3",""
"R6,R24","27k","","FormantKO:R_Axial_Horizontal","2",""
"R11,R16,R22,R30","33k","","FormantKO:R_Axial_Horizontal","4",""
"R12,R15","5k6","","FormantKO:R_Axial_Horizontal","2",""
"R20","220R","","FormantKO:R_Axial_Horizontal","1",""
"R25,R28","6k8","","FormantKO:R_Axial_Horizontal","2",""
"R29","330R","","FormantKO:R_Axial_Horizontal","1",""
"S1,S3","SW","","FormantKO:PanelConnector_1x03","2",""
"S2","MODE","","FormantKO:PanelConnector_1x04","1",""
"T1,T2,T3,T4,T5","BC109C","","FormantKO:TO-18_Wide","5",""
