"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C9","100n","","FormantKO:C_Rect_300_400","3",""
"C3,C4","10n","","FormantKO:C_Rect_300_400","2",""
"C5,C6","39n","","FormantKO:C_Rect_300_400","2",""
"C7","15n","","FormantKO:C_Rect_300_400","1",""
"C8","3n3","","FormantKO:C_Rect_300_400","1",""
"C10,C11,C12","680n","","FormantKO:C_Rect_300_400","3",""
"D1,J25","-15V LED","","FormantKO:PanelConnector_1x02,FormantKO:Wire_1x01_General","2",""
"D2","+5V LED","","FormantKO:PanelConnector_1x02","1",""
"D3,J24","+15V LED","","FormantKO:PanelConnector_1x02,FormantKO:Wire_1x01_General","2",""
"D4,J26","GATE1 LED","","FormantKO:PanelConnector_1x02,FormantKO:Wire_1x01_General","2",""
"D5,J27","GATE2 LED","","FormantKO:PanelConnector_1x02,FormantKO:Wire_1x01_General","2",""
"IC1","RC4136","","FormantKO:DIP-14","1",""
"J1","CardConnector","","FormantKO:CardConnector","1",""
"J2","IS SELECT","","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","1",""
"J3","P1a.1","","FormantKO:Wire_1x01_General","1",""
"J4","P1a.2","","FormantKO:Wire_1x01_General","1",""
"J5,J19","OUT 1","","FormantKO:PanelConnector_1x02,FormantKO:Wire_1x01_General","2",""
"J6,J11","OUT 2","","FormantKO:PanelConnector_1x02,FormantKO:Wire_1x01_General","2",""
"J7","P1a.3","","FormantKO:Wire_1x01_General","1",""
"J8","P2.1","","FormantKO:Wire_1x01_General","1",""
"J9","P2.2","","FormantKO:Wire_1x01_General","1",""
"J10","P2.3","","FormantKO:Wire_1x01_General","1",""
"J12","P3.1","","FormantKO:Wire_1x01_General","1",""
"J13","P3.2","","FormantKO:Wire_1x01_General","1",""
"J14","P3.3","","FormantKO:Wire_1x01_General","1",""
"J15,J20,J22,J28,J32","GND","","FormantKO:Wire_1x01_General","5",""
"J16","P1b.1","","FormantKO:Wire_1x01_General","1",""
"J17","P1b.2","","FormantKO:Wire_1x01_General","1",""
"J18","P1b.3","","FormantKO:Wire_1x01_General","1",""
"J21","-15V","","FormantKO:Wire_1x01_General","1",""
"J23","5V LED","","FormantKO:Wire_1x01_General","1",""
"J29","P4.1","","FormantKO:Wire_1x01_General","1",""
"J30","P4.2","","FormantKO:Wire_1x01_General","1",""
"J31","P4.3","","FormantKO:Wire_1x01_General","1",""
"MH1","CardBracket","","FormantKO:CardBracket","1",""
"P1,R19","4k7","","FormantKO:PanelConnector_1x06,FormantKO:R_Axial_Horizontal","2",""
"P2,P3,P4,R10,R12","100k","","FormantKO:PanelConnector_1x03,FormantKO:R_Axial_Horizontal","5",""
"P5","250k","","FormantKO:Potentiometer_Trimmer_PinSwap","1",""
"R1,R2","82k","","FormantKO:R_Axial_Horizontal","2",""
"R3,R8,R18","470R","","FormantKO:R_Axial_Horizontal","3",""
"R4,R6","1k5","","FormantKO:R_Axial_Horizontal","2",""
"R5,R7,R11,R13","6k8","","FormantKO:R_Axial_Horizontal","4",""
"R9,R14","3k9","","FormantKO:R_Axial_Horizontal","2",""
"R15,R17","220k","","FormantKO:R_Axial_Horizontal","2",""
"R16","22k","","FormantKO:R_Axial_Horizontal","1",""
"R20,R22","680R","","FormantKO:R_Axial_Horizontal","2",""
"R21,R24,R27","150R","","FormantKO:R_Axial_Horizontal","3",""
"R25,R26","10k","","FormantKO:R_Axial_Horizontal","2",""
"T1,T2","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","FormantKO:TO-92","2",""
"TP1","TestPoint","","FormantKO:KEYSTONE_5001","1",""
