"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","470µ","","","","FormantKO:CP_Axial_1000",""
"C3,C4","2","100n","","","","FormantKO:C_Rect_300",""
"C5,C6","2","1µ","","","","FormantKO:CP_Radial_Tantal_200",""
"D1,D2,D3,D4","4","type="""" model=""1N4001"" lib=""semiconductor.lib""","","","","FormantKO:DO-41_400",""
"F1","1","315mA","","","Excluded from board","FormantKO:FuseHolder_5x20mm",""
"IC1","1","L7815","","","","4ms_Package_TO:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"IC2","1","L7915","","","","4ms_Package_TO:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/c9/16/86/41/c7/2b/45/f2/CD00000450.pdf/files/CD00000450.pdf/jcr:content/translations/en.CD00000450.pdf"
"J1,J2","2","AC","","","","FormantKO:Wire_1x01_General",""
"J3","1","+","","","","FormantKO:Wire_1x01_General",""
"J4","1","0","","","","FormantKO:Wire_1x01_General",""
"J5","1","-","","","","FormantKO:Wire_1x01_General",""
"J6","1","CT","","","","FormantKO:Wire_1x01_General",""
"S1","1","POWER","","","Excluded from board","",""
"Tr1","1","36VCT 1500mA","","","Excluded from board","",""
