"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","47n","","FormantKO:C_Rect_300","2",""
"C3,C4","470n","","FormantKO:C_Rect_300","2",""
"IC1,IC2,IC3","µA741C","http://www.ti.com/lit/ds/symlink/lm741.pdf","FormantKO:DIP-8","3",""
"J1","CardConnector","","FormantKO:CardConnector","1",""
"J2,J4","EOS","","FormantKO:PanelConnector_1x02,FormantKO:Wire_1x01_General","2",""
"J3","IOS SELECT","","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","1",""
"J5","GND","","FormantKO:Wire_1x01_General","1",""
"J6","S1a","","FormantKO:Wire_1x01_General","1",""
"J7","S1m","","FormantKO:Wire_1x01_General","1",""
"J8","S1b","","FormantKO:Wire_1x01_General","1",""
"MH1","Card Bracket","","FormantKO:CardBracket","1",""
"P1,P2","1k","","FormantKO:Potentiometer_Trimmer","2",""
"P3","470R","","FormantKO:Potentiometer_Trimmer_MultiTurn","1",""
"R1","560R","","FormantKO:R_Axial_Horizontal","1",""
"R2","10k","","FormantKO:R_Axial_Horizontal","1",""
"R3,R4","100k","","FormantKO:R_Axial_Horizontal","2",""
"R5","56k","","FormantKO:R_Axial_Horizontal","1",""
"R6","470Ω","","FormantKO:R_Axial_Horizontal","1",""
"R7","220Ω","","","1",""
"S1","ON/OFF","","FormantKO:PanelConnector_1x03","1",""
