"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3","560n","","FormantKO:C_Rect_P200mil","3",""
"C4,C5","10µ","","FormantKO:CP_Axial_P600mil","2",""
"D1","DUS","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","FormantKO:DO-35_P400mil","1",""
"IC1,IC2,IC3","µA741C","http://www.ti.com/lit/ds/symlink/lm741.pdf","FormantKO:DIP-8N","3",""
"J1","Card Connector","","FormantKO:CardConnector","1",""
"J2,J3,J4,J5","Mono_Jack","","FormantKO:PanelConnector_1x02","4",""
"MH1","CardBracket","","FormantKO:CardBracket","1",""
"P1,P2,R6","100k","","FormantKO:PanelConnector_1x03,FormantKO:R_Axial_Horizontal_P500mil","3",""
"P3,P4","50k","","FormantKO:PanelConnector_1x03","2",""
"P5","10k","","FormantKO:PanelConnector_1x03","1",""
"R1,R2,R8,R9","56k","","FormantKO:R_Axial_Horizontal_P500mil","4",""
"R3,R7","120k","","FormantKO:R_Axial_Horizontal_P500mil","2",""
"R4","5k6","","FormantKO:R_Axial_Horizontal_P500mil","1",""
"R5","470k","","FormantKO:R_Axial_Horizontal_P500mil","1",""
"R10","82k","","FormantKO:R_Axial_Horizontal_P500mil","1",""
"R11","470Ω","","FormantKO:R_Axial_Horizontal_P500mil","1",""
