"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C10","220n","","FormantKO:C_Rect_300","1",""
"C11,C12","680n","","FormantKO:C_Rect_300","2",""
"D3,D5","DUS","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","FormantKO:DUS","2",""
"D4","DLED","","FormantKO:PanelConnector_1x02","1",""
"IC7,IC8","µA741C","http://www.ti.com/lit/ds/symlink/lm741.pdf","FormantKO:DIP-8","2",""
"J1","D4a","","FormantKO:Wire_1x01_General","1",""
"J2","D4k","","FormantKO:Wire_1x01_General","1",""
"J4,J8","KOV","","FormantKO:TerminalBlock_1x04_P5.00mm,FormantKO:Wire_1x01_General","2",""
"J5,J9","GATE","","FormantKO:TerminalBlock_1x04_P5.00mm,FormantKO:Wire_1x01_General","2",""
"J10,J13","0","","FormantKO:Wire_1x01_General","2",""
"J11,J14","+","","FormantKO:Wire_1x01_General","2",""
"J12,J15","-","","FormantKO:Wire_1x01_General","2",""
"P8,R29","100k","","FormantKO:Potentiometer_Trimmer,FormantKO:R_Axial_Horizontal","2",""
"P9,R30,R31","1k","","FormantKO:Potentiometer_Trimmer,FormantKO:R_Axial_Horizontal","3",""
