"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"B1,B2,B3","3","BRIDGE_RECTIFIER","","","","FormantKO:BridgeRectifier","https://www.vishay.com/docs/84808/pb4006.pdf"
"C1,C2","2","2200µ","","","","Capacitor_THT:CP_Axial_L42.0mm_D23.0mm_P45.00mm_Horizontal",""
"C3,C4,C9,C11,C12","5","100n","","","","FormantKO:C_Rect_300",""
"C5,C6,C13","3","1n","","","","FormantKO:C_Rect_300",""
"C7,C8","2","10µ","","","","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P5.00mm",""
"C10","1","2200µ","","","","Capacitor_THT:CP_Axial_L30.0mm_D18.0mm_P35.00mm_Horizontal",""
"C14","1","10µ","","","","FormantKO:CP_Axial_600",""
"D1,D2,D3","3","1N4002","","","","Diode_THT:D_DO-41_SOD81_P12.70mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D4","1","+15V LED","","","","FormantKO:PanelConnector_1x02",""
"D5","1","-15V LED","","","","FormantKO:PanelConnector_1x02",""
"D6","1","+5V LED","","","","FormantKO:PanelConnector_1x02",""
"F1,F2,F3","3","2A","","","","FormantKO:FuseHolder_5x20mm",""
"IC2,IC3,U1","3","LM723","","","","FormantKO:DIP-14","http://www.ti.com/lit/ds/symlink/lm723.pdf"
"J1,J2","2","18VAC 1A","","","","FormantKO:TransformerConnector",""
"J3","1","10VAC 1A","","","","FormantKO:TransformerConnector",""
"J4","1","TO BUS","","","","FormantKO:BusPowerConnector",""
"M1","1","+15V METER","","","","FormantKO:PanelConnector_1x02",""
"M2","1","-15V METER","","","","FormantKO:PanelConnector_1x02",""
"M3","1","+5V METER","","","","FormantKO:PanelConnector_1x02",""
"P1,P2,P3","3","2k5","","","","FormantKO:Potentiometer_Trimmer_MultiTurn",""
"R1,R2","2","3k9","","","","FormantKO:R_Axial_Horizontal",""
"R3,R4,R5,R6,R19,R20","6","2R7","","","","FormantKO:R_Axial_Horizontal",""
"R7,R8","2","1k","","","","FormantKO:R_Axial_Horizontal",""
"R9,R10","2","22k","","","","FormantKO:R_Axial_Horizontal",""
"R11,R12,R13,R14","4","6k8","","","","FormantKO:R_Axial_Horizontal",""
"R15,R16","2","680R","","","","FormantKO:R_Axial_Horizontal",""
"R17,R22","2","2k7","","","","FormantKO:R_Axial_Horizontal",""
"R18","1","8k2","","","","FormantKO:R_Axial_Horizontal",""
"R21","1","2k2","","","","FormantKO:R_Axial_Horizontal",""
"R23","1","15k","","","","FormantKO:R_Axial_Horizontal",""
"R24","1","150R","","","","FormantKO:R_Axial_Horizontal",""
"T1,T2,T3","3","2N3055","","","","FormantKO:PowerTransistorConnector_EBC","https://www.onsemi.com/pdf/datasheet/2n3055-d.pdf"
"TP1","1","+15V","","","","TestPoint:TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",""
"TP2","1","-15V","","","","TestPoint:TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",""
"TP3","1","+5V","","","","TestPoint:TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",""
"TP4","1","GND","","","","TestPoint:TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",""
